Continent,Colony,CurrentNameOfTerritory,PeriodOfTime,ColonialPower,
America,Fort Caroline,USA,1564 -1568,France,
America,Fort Ross,USA,1812 -1841,Russia [tbd],
America,France Antarctique,Brazil,1555 -1567,France,
America,French Guiana,French Guiana,"1801 -1809
1817 to date",France,
America,French Guiana,French Guiana,1809 -1817,Portugal,
America,French West Indies,French Guiana,1635 to date,France,
America,Georgia,USA,1732 -1776,Great Britain,
America,Greenland,Greenland,1921 -1979,Denmark,
America,Grenada,Grenada,1649 -1763,France,
America,Grenada,Grenada,1763 -1974,Great Britain,
America,Guadeloupe,Guadeloupe,"1635 -1759
1763 -1794
1794 -1810
1814 to date",France,
164,
Continent,Colony,Current name of territory,Period of time,Colonial power,
America,Hispaniola,Dominican Republic,"1492-1697/1795
1808 -1822
1861 -1865",Spain,
America,Jamaica,Jamaica,1509 -1655,Spain,
America,Jamaica,Jamaica,1655 -1962,Great Britain,
America,Labrador,Canada,1499 -1526,Portugal,
America,Louisiana,USA,"1683 -1763
1800 -1803",France,
America,Maryland,USA,1634 -1776,Great Britain,
America,Mississippi Territory,USA,1783 -1795,Spain,
America,Montserrat,Montserrat,1632 to date,Great Britain,
America,Mosquito Coast,Nicaragua,1655 -1850,Great Britain,
America,Navassa,USA,Since 1857,USA,
America,Netherlands Antilles,Netherlands Antilles,1948 to date,Netherlands,
America,Netherlands Guiana,Suriname and Guiana,1616 -1775,Netherlands,
America,New Brunswick,Canada,1713 -1867,Great Britain,
America,New France,Acadia,1534 -1759,France,
America,New Hampshire,USA,1629 -1776,Great Britain,
America,New Jersey,USA,1664 -1776,Great Britain,
America,New Netherland,USA,1624 -1667,Netherlands,
America,New Sweden,USA,1638 -1655,Sweden,
America,New York,USA,1664 -1776,Great Britain,
America,"Newfoundland (dominion
from 1907)",Canada,1610 -1931,Great Britain,
America,Nootka Territory,Columbia,1789 -1794,Spain,
America,Northwest Territories,Canada,1859 -1870,Great Britain,
America,Nova Scotia,Canada,1713 -1867,Great Britain,
America,Pennsylvania,USA,1681 -1776,Great Britain,
America,Prince Edward Island,Canada,1763 -1873,Great Britain,
America,Puerto Rico,USA,1898 to date,USA,
America,Rhode Island and Providence,USA,1636 -1776,Great Britain,
America,Rupert-s Land,Canada,1670 -1870,Great Britain,
America,Saint Kitts and Nevis,Saint Kitts and Nevis,1623 -1983,Great Britain,
America,Saint Lucia,Saint Lucia,1650 -1814,France,
America,Saint Lucia,Saint Lucia,1814 -1979,Great Britain,
America,Saint Pierre and Miquelon,"Saint Pierre and Miquelon (French overseas collectivity
since 2003)","1670 -1778
1813 to date",France,
165,
Continent,Colony,Current name of territory,Period of time,Colonial power,
America,"Saint Vincent and the
Grenadines","Saint Vincent and the
Grenadines",1719 -1783,France,
America,"Saint Vincent and the
Grenadines","Saint Vincent and the
Grenadines",1783 -1979,Great Britain,
America,Saint-Barth-lemy,"Saint-Barth-lemy (French over-
seas collectivity since 2007)",1784 -1877,Sweden,
America,Saint-Domingue,Haiti,1697 -1804,France,
America,Terra Nova,Canada,1521 -1526,Portugal,
America,Tobago,Tobago,1498 -1814,"A minimum of 33 differ- ent owners. Only extend- ed periods of colonial power are mentioned as
follows:",
America,Tobago,Tobago,1628 -1634,Netherlands,
America,Tobago,Tobago,"1762 -1781
1814 -1889",Great Britain,
America,Tobago,Trinidad,1781 -1793,France,
America,Trinidad,Trinidad,1802 -1889,Great Britain,
America,Trinidad,Trinidad,1552 -1802,Spain,
America,"Trinidad and Tobago (unified
in 1899)",Tobago,1889 -1962,Great Britain,
America,Vancouver Island,Canada,1848 -1871,Great Britain,
America,Viceroyalty of New Granada,Panama,"1717 -1724",Spain,
America,Viceroyalty of New Spain,Mexico,1535 -1821,Spain,
America,"Viceroyalty of Peru (initially founded in 1542 as the Viceroyalty of New Castile, it contained all of Spanish-ruled South America (including Panama) except Venezuela, in 1776, it was subdivided into the Viceroyalties of Peru and
R-o de la Plata)",Argentina,1542 -1823,Spain,
America,"Viceroyalty of the R-o de
la Plata",Uruguay,1776 -1811,Spain,
America,Virginia,USA,1607 -1776,Great Britain,
America,West Louisiana,USA,1762 -1800,Spain,
Asia,(northern) Laos,Laos,1945 -1946,China,
Asia,Abkhazia,Georgia,1578 -1810,Ottoman Empire [tbd],
Asia,Aden (Yemen),Yemen,1538 -1839,Ottoman Empire [tbd],
Asia,Aden (Yemen),Yemen,1839 -1967,Great Britain,
Asia,al-Hasa (Saudi Arabia),Saudi Arabia,"1550 -1670
1871 -1913",Ottoman Empire [tbd],
Asia,Amur,Amur,1689 -1858,China [tbd],
166,
Continent,Colony,Current name of territory,Period of time,Colonial power,
"Asia
Asia","Arad Fort (Bahrain)
Armenia","Arad Fort (Bahrain)
Armenia","1521 -1602
1829 -1918","Portugal
Russia [tbd]",
